#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
binnie.beer.lager                                 (extratrees:binnie.beer.lager)                                                   = Lager
binnie.beer.wheat                                 (extratrees:binnie.beer.wheat)                                                   = Wheat Beer
binnie.beer.rye                                   (extratrees:binnie.beer.rye)                                                     = Rye Beer
binnie.beer.corn                                  (extratrees:binnie.beer.corn)                                                    = Corn Beer
binnie.beer.stout                                 (extratrees:binnie.beer.stout)                                                   = Stout
binnie.mash.grain                                 (extratrees:binnie.mash.grain)                                                   = Fermented Grain Mash
binnie.mash.wheat                                 (extratrees:binnie.mash.wheat)                                                   = Fermented Wheat Mash
binnie.mash.rye                                   (extratrees:binnie.mash.rye)                                                     = Fermented Rye Mash
binnie.mash.corn                                  (extratrees:binnie.mash.corn)                                                    = Fermented Corn Mash
binnie.spirit.neutral                             (extratrees:binnie.spirit.neutral)                                               = Neutral Spirit
binnie.vodka                                      (extratrees:binnie.vodka)                                                        = Vodka
binnie.rum.white                                  (extratrees:binnie.rum.white)                                                    = White Rum
binnie.rum.dark                                   (extratrees:binnie.rum.dark)                                                     = Dark Rum
binnie.whiskey                                    (extratrees:binnie.whiskey)                                                      = Whiskey
binnie.whiskey.corn                               (extratrees:binnie.whiskey.corn)                                                 = Bourbon
binnie.whiskey.rye                                (extratrees:binnie.whiskey.rye)                                                  = Rye Whiskey
binnie.whiskey.wheat                              (extratrees:binnie.whiskey.wheat)                                                = Wheat Whiskey
binnie.wine.fortified                             (extratrees:binnie.wine.fortified)                                               = Fortified Wine
binnie.tequila                                    (extratrees:binnie.tequila)                                                      = Tequila
binnie.brandy.grape                               (extratrees:binnie.brandy.grape)                                                 = Brandy
binnie.brandy.apple                               (extratrees:binnie.brandy.apple)                                                 = Apple Brandy
binnie.brandy.pear                                (extratrees:binnie.brandy.pear)                                                  = Pear Brandy
binnie.brandy.apricot                             (extratrees:binnie.brandy.apricot)                                               = Apricot Brandy
binnie.brandy.plum                                (extratrees:binnie.brandy.plum)                                                  = Plum Brandy
binnie.brandy.cherry                              (extratrees:binnie.brandy.cherry)                                                = Cherry Brandy
binnie.brandy.elderberry                          (extratrees:binnie.brandy.elderberry)                                            = Elderberry Brandy
binnie.brandy.citrus                              (extratrees:binnie.brandy.citrus)                                                = Citrus Brandy
binnie.brandy.fruit                               (extratrees:binnie.brandy.fruit)                                                 = Fruit Brandy
binnie.spirit.sugarcane                           (extratrees:binnie.spirit.sugarcane)                                             = Cachaca
binnie.spirit.gin                                 (extratrees:binnie.spirit.gin)                                                   = Gin
binnie.liquor.apple                               (extratrees:binnie.liquor.apple)                                                 = Apple Liquor
binnie.liquor.pear                                (extratrees:binnie.liquor.pear)                                                  = Pear Liquor
binnie.liquor.cherry                              (extratrees:binnie.liquor.cherry)                                                = Cherry Liquor
binnie.liquor.elderberry                          (extratrees:binnie.liquor.elderberry)                                            = Elderberry Liquor
binnie.liquor.apricot                             (extratrees:binnie.liquor.apricot)                                               = Apricot Liquor
binnie.liquor.fruit                               (extratrees:binnie.liquor.fruit)                                                 = Fruit Liquor
binnie.liqueur.almond                             (extratrees:binnie.liqueur.almond)                                               = Almond Liqueur
binnie.liqueur.orange                             (extratrees:binnie.liqueur.orange)                                               = Orange Liqueur
binnie.liqueur.banana                             (extratrees:binnie.liqueur.banana)                                               = Banana Liqueur
binnie.liqueur.chocolate                          (extratrees:binnie.liqueur.chocolate)                                            = Chocolate Liqueur
binnie.liqueur.mint                               (extratrees:binnie.liqueur.mint)                                                 = Mint Liqueur
binnie.liqueur.hazelnut                           (extratrees:binnie.liqueur.hazelnut)                                             = Hazelnut Liqueur
binnie.liqueur.cinnamon                           (extratrees:binnie.liqueur.cinnamon)                                             = Cinnamon Liqueur
binnie.liqueur.coffee                             (extratrees:binnie.liqueur.coffee)                                               = Coffee Liqueur
binnie.liqueur.melon                              (extratrees:binnie.liqueur.melon)                                                = Melon Liqueur
binnie.liqueur.anise                              (extratrees:binnie.liqueur.anise)                                                = Anise Liqueur
binnie.liqueur.peach                              (extratrees:binnie.liqueur.peach)                                                = Peach Liqueur
binnie.liqueur.lemon                              (extratrees:binnie.liqueur.lemon)                                                = Lemon Liqueur
binnie.liqueur.herbal                             (extratrees:binnie.liqueur.herbal)                                               = Herbal Liqueur
binnie.liqueur.cherry                             (extratrees:binnie.liqueur.cherry)                                               = Cherry Liqueur
binnie.liqueur.blackcurrant                       (extratrees:binnie.liqueur.blackcurrant)                                         = Blackcurrant Liqueur
binnie.liqueur.blackberry                         (extratrees:binnie.liqueur.blackberry)                                           = Blackberry Liqueur
binnie.liqueur.raspberry                          (extratrees:binnie.liqueur.raspberry)                                            = Raspberry Liqueur
bloodbronze                                       ([no block])                                                                     = Molten Blood Bronze
liquid_ender                                      ([no block])                                                                     = fluid.liquid_ender
liquid_crystal                                    ([no block])                                                                     = Resonating Crystal Liquid
anti_venom                                        ([no block])                                                                     = Anti-Venom
beetle_juice                                      ([no block])                                                                     = Beetle Juice
formic_acid                                       (erebus:formic_acid)                                                             = Formic Acid
xu_evil_metal                                     ([no block])                                                                     = Evil Infused Iron
xu_enchanted_metal                                ([no block])                                                                     = Enchanted Metal
xu_demonic_metal                                  ([no block])                                                                     = Molten Demon Metal
mutagen                                           (gendustry:mutagen)                                                              = Mutagen
liquiddna                                         (gendustry:liquiddna)                                                            = Liquid DNA
protein                                           (gendustry:protein)                                                              = Protein
syngas                                            (advgenerators:syngas)                                                           = Syngas
distilled_water                                   ([no block])                                                                     = Distilled Water
aluminium                                         ([no block])                                                                     = Aluminium
americium                                         ([no block])                                                                     = Americium
antimony                                          ([no block])                                                                     = Antimony
plasma.argon                                      ([no block])                                                                     = Argon Plasma
barium                                            ([no block])                                                                     = Barium
beryllium                                         ([no block])                                                                     = Beryllium
bismuth                                           ([no block])                                                                     = Bismuth
caesium                                           ([no block])                                                                     = Caesium
calcium                                           ([no block])                                                                     = Calcium
carbon                                            ([no block])                                                                     = Carbon
cadmium                                           ([no block])                                                                     = Cadmium
cerium                                            ([no block])                                                                     = Cerium
chlorine                                          ([no block])                                                                     = Chlorine
chrome                                            (tconstruct:molten_chrome)                                                       = Chrome
deuterium                                         ([no block])                                                                     = Deuterium
dysprosium                                        ([no block])                                                                     = Dysprosium
erbium                                            ([no block])                                                                     = Erbium
europium                                          ([no block])                                                                     = Europium
fluorine                                          ([no block])                                                                     = Fluorine
gadolinium                                        ([no block])                                                                     = Gadolinium
gallium                                           ([no block])                                                                     = Gallium
holmium                                           ([no block])                                                                     = Holmium
plasma.helium                                     ([no block])                                                                     = Helium Plasma
helium3                                           ([no block])                                                                     = Helium 3
indium                                            ([no block])                                                                     = Indium
plasma.iron                                       ([no block])                                                                     = Iron Plasma
lanthanum                                         ([no block])                                                                     = Lanthanum
lithium                                           ([no block])                                                                     = Lithium
lutetium                                          ([no block])                                                                     = Lutetium
magnesium                                         (tconstruct:molten_magnesium)                                                    = Magnesium
manganese                                         ([no block])                                                                     = Manganese
mercury                                           ([no block])                                                                     = Mercury
molybdenum                                        ([no block])                                                                     = Molybdenum
neodymium                                         ([no block])                                                                     = Neodymium
darmstadtium                                      ([no block])                                                                     = Darmstadtium
plasma.nickel                                     ([no block])                                                                     = Nickel Plasma
niobium                                           ([no block])                                                                     = Niobium
plasma.nitrogen                                   ([no block])                                                                     = Nitrogen Plasma
osmium                                            (tconstruct:molten_osmium)                                                       = Osmium
plasma.oxygen                                     ([no block])                                                                     = Oxygen Plasma
palladium                                         (gregtech:fluid.palladium)                                                       = Palladium
plutonium                                         ([no block])                                                                     = Plutonium 244
plutonium241                                      ([no block])                                                                     = Plutonium 241
potassium                                         ([no block])                                                                     = Potassium
praseodymium                                      ([no block])                                                                     = Praseodymium
promethium                                        ([no block])                                                                     = Promethium
radon                                             ([no block])                                                                     = Radon
rubidium                                          ([no block])                                                                     = Rubidium
samarium                                          ([no block])                                                                     = Samarium
scandium                                          ([no block])                                                                     = Scandium
silicon                                           ([no block])                                                                     = Silicon
sodium                                            ([no block])                                                                     = Sodium
strontium                                         ([no block])                                                                     = Strontium
tantalum                                          ([no block])                                                                     = Tantalum
tellurium                                         ([no block])                                                                     = Tellurium
terbium                                           ([no block])                                                                     = Terbium
thorium                                           (tconstruct:molten_thorium)                                                      = Thorium
thulium                                           ([no block])                                                                     = Thulium
titanium                                          (tconstruct:molten_titanium)                                                     = Titanium
tritium                                           ([no block])                                                                     = Tritium
tungsten                                          (tconstruct:molten_tungsten)                                                     = Tungsten
uranium235                                        ([no block])                                                                     = Uranium 235
vanadium                                          ([no block])                                                                     = Vanadium
yttrium                                           ([no block])                                                                     = Yttrium
carbon_dioxide                                    ([no block])                                                                     = Carbon Dioxide
noble_gases                                       ([no block])                                                                     = Noble Gases
air                                               ([no block])                                                                     = Air
liquid_air                                        ([no block])                                                                     = Liquid Air
annealed_copper                                   ([no block])                                                                     = Annealed Copper
battery_alloy                                     ([no block])                                                                     = Battery Alloy
cupronickel                                       ([no block])                                                                     = Cupronickel
glyceryl                                          ([no block])                                                                     = Glyceryl Trinitrate
titanium_tetrachloride                            ([no block])                                                                     = Titanium Tetrachloride
kanthal                                           ([no block])                                                                     = Kanthal
magnalium                                         ([no block])                                                                     = Magnalium
nichrome                                          ([no block])                                                                     = Nichrome
niobium_nitride                                   ([no block])                                                                     = Niobium Nitride
niobium_titanium                                  ([no block])                                                                     = Niobium-Titanium
nitrogen_dioxide                                  ([no block])                                                                     = Nitrogen Dioxide
pig_iron                                          ([no block])                                                                     = Pig Iron
plastic                                           ([no block])                                                                     = Polyethylene
epoxid                                            ([no block])                                                                     = Epoxy Resin
silicone                                          ([no block])                                                                     = Polysiloxane
polycaprolactam                                   ([no block])                                                                     = Polycaprolactam
polytetrafluoroethylene                           ([no block])                                                                     = Polytetrafluoroethylene
rubber                                            ([no block])                                                                     = Rubber
sodium_persulfate                                 ([no block])                                                                     = Sodium Persulfate
hydrogen_sulfide                                  ([no block])                                                                     = Hydrogen Sulfide
oil_medium                                        (gregtech:fluid.oil_medium)                                                      = Raw Oil
oil_light                                         (gregtech:fluid.oil_light)                                                       = Light Oil
natural_gas                                       (gregtech:fluid.natural_gas)                                                     = Natural Gas
sulfuric_gas                                      ([no block])                                                                     = Sulfuric Gas
gas                                               ([no block])                                                                     = Refinery Gas
sulfuric_naphtha                                  ([no block])                                                                     = Sulfuric Naphtha
sulfuric_light_fuel                               ([no block])                                                                     = Sulfuric Light Fuel
sulfuric_heavy_fuel                               ([no block])                                                                     = Sulfuric Heavy Fuel
naphtha                                           ([no block])                                                                     = Naphtha
light_fuel                                        ([no block])                                                                     = Light Fuel
heavy_fuel                                        ([no block])                                                                     = Heavy Fuel
lpg                                               ([no block])                                                                     = LPG
soldering_alloy                                   ([no block])                                                                     = Soldering Alloy
stainless_steel                                   ([no block])                                                                     = Stainless Steel
sulfuric_acid                                     ([no block])                                                                     = Sulfuric Acid
tin_alloy                                         ([no block])                                                                     = Tin Alloy
ultimet                                           ([no block])                                                                     = Ultimet
vanadium_gallium                                  ([no block])                                                                     = Vanadium-Gallium
wrought_iron                                      ([no block])                                                                     = Wrought Iron
yttrium_barium_cuprate                            ([no block])                                                                     = Yttrium Barium Cuprate
graphite                                          ([no block])                                                                     = Graphite
graphene                                          ([no block])                                                                     = Graphene
osmiridium                                        ([no block])                                                                     = Osmiridium
blaze                                             ([no block])                                                                     = Blaze
sterling_silver                                   ([no block])                                                                     = Sterling Silver
rose_gold                                         ([no block])                                                                     = Rose Gold
black_bronze                                      ([no block])                                                                     = Black Bronze
bismuth_bronze                                    ([no block])                                                                     = Bismuth Bronze
black_steel                                       ([no block])                                                                     = Black Steel
red_steel                                         ([no block])                                                                     = Red Steel
blue_steel                                        ([no block])                                                                     = Blue Steel
damascus_steel                                    ([no block])                                                                     = Damascus Steel
tungsten_steel                                    ([no block])                                                                     = Tungstensteel
nitro_fuel                                        ([no block])                                                                     = Cetane-Boosted Diesel
red_alloy                                         ([no block])                                                                     = Red Alloy
cobalt_brass                                      ([no block])                                                                     = Cobalt Brass
iron_magnetic                                     ([no block])                                                                     = Magnetic Iron
steel_magnetic                                    ([no block])                                                                     = Magnetic Steel
neodymium_magnetic                                ([no block])                                                                     = Magnetic Neodymium
tungsten_carbide                                  ([no block])                                                                     = Tungstencarbide
vanadium_steel                                    ([no block])                                                                     = Vanadiumsteel
hssg                                              ([no block])                                                                     = HSS-G
hsse                                              ([no block])                                                                     = HSS-E
hsss                                              ([no block])                                                                     = HSS-S
uuamplifier                                       ([no block])                                                                     = UU-Amplifier
uumatter                                          ([no block])                                                                     = UU-Matter
naquadah                                          ([no block])                                                                     = Naquadah
naquadah_alloy                                    ([no block])                                                                     = Naquadah Alloy
naquadah_enriched                                 ([no block])                                                                     = Enriched Naquadah
naquadria                                         ([no block])                                                                     = Naquadria
tritanium                                         ([no block])                                                                     = Tritanium
duranium                                          ([no block])                                                                     = Duranium
bio_diesel                                        ([no block])                                                                     = Bio Diesel
glue                                              ([no block])                                                                     = Glue
lubricant                                         (immersivepetroleum:fluid_lubricant)                                             = Lubricant
mc_guffium239                                     ([no block])                                                                     = Mc Guffium 239
construction_foam                                 ([no block])                                                                     = Construction Foam
drilling_fluid                                    ([no block])                                                                     = Drilling Fluid
epichlorhydrin                                    ([no block])                                                                     = Epichlorohydrin
toluene                                           ([no block])                                                                     = Toluene
nitric_acid                                       ([no block])                                                                     = Nitric Acid
nitration_mixture                                 ([no block])                                                                     = Nitration Mixture
ytterbium                                         ([no block])                                                                     = Ytterbium
borosilicate_glass                                ([no block])                                                                     = Borosilicate Glass
vinyl_chloride                                    ([no block])                                                                     = Vinyl Chloride
ethylene                                          ([no block])                                                                     = Ethylene
benzene                                           ([no block])                                                                     = Benzene
wood_gas                                          ([no block])                                                                     = Wood Gas
wood_vinegar                                      ([no block])                                                                     = Wood Vinegar
wood_tar                                          ([no block])                                                                     = Wood Tar
acetone                                           ([no block])                                                                     = Acetone
sulfur_trioxide                                   ([no block])                                                                     = Sulfur Trioxide
sulfur_dioxide                                    ([no block])                                                                     = Sulfur Dioxide
glycerol                                          ([no block])                                                                     = Glycerol
methanol                                          ([no block])                                                                     = Methanol
carbon_monoxide                                   ([no block])                                                                     = Carbon Monoxide
diluted_sulfuric_acid                             ([no block])                                                                     = Diluted Sulfuric Acid
chloroform                                        ([no block])                                                                     = Chloroform
diluted_hydrochloric_acid                         ([no block])                                                                     = Diluted Hydrochloric Acid
hypochlorous_acid                                 ([no block])                                                                     = Hypochlorous Acid
ammonia                                           ([no block])                                                                     = Ammonia
chloramine                                        ([no block])                                                                     = Chloramine
dimethylamine                                     ([no block])                                                                     = Dimethylamine
dimethylhidrazine                                 ([no block])                                                                     = 1,1-Dimethylhydrazine
dinitrogen_tetroxide                              ([no block])                                                                     = Dinitrogen Tetroxide
silicon_rubber                                    ([no block])                                                                     = Silicone Rubber
dimethyldichlorosilane                            ([no block])                                                                     = Dimethyldichlorosilane
styrene                                           ([no block])                                                                     = Styrene
polystyrene                                       ([no block])                                                                     = Polystyrene
butadiene                                         ([no block])                                                                     = Butadiene
styrene_butadiene_rubber                          ([no block])                                                                     = Styrene-Butadiene Rubber
dichlorobenzene                                   ([no block])                                                                     = Dichlorobenzene
hydrochloric_acid                                 ([no block])                                                                     = Hydrochloric Acid
acetic_acid                                       ([no block])                                                                     = Acetic Acid
hydrofluoric_acid                                 ([no block])                                                                     = Hydrofluoric Acid
nitric_oxide                                      ([no block])                                                                     = Nitric Oxide
methyl_acetate                                    ([no block])                                                                     = Methyl Acetate
ethenone                                          ([no block])                                                                     = Ethenone
tetranitromethane                                 ([no block])                                                                     = Tetranitromethane
vinyl_acetate                                     ([no block])                                                                     = Vinyl Acetate
gallium_arsenide                                  ([no block])                                                                     = Gallium Arsenide
polyphenylene_sulfide                             ([no block])                                                                     = Polyphenylene Sulfide
nickel_sulfate_water_solution                     ([no block])                                                                     = Nickel Sulfate Water Solution
blue_vitriol_water_solution                       ([no block])                                                                     = Blue Vitriol Water Solution
propane                                           ([no block])                                                                     = Propane
propene                                           ([no block])                                                                     = Propene
ethane                                            ([no block])                                                                     = Ethane
butene                                            ([no block])                                                                     = Butene
butane                                            ([no block])                                                                     = Butane
calcium_acetate                                   ([no block])                                                                     = Calcium Acetate Solution
cumene                                            ([no block])                                                                     = Cumene
indium_gallium_phosphide                          ([no block])                                                                     = Indium Gallium Phosphide
nickel_zinc_ferrite                               ([no block])                                                                     = Nickel Zinc Ferrite
indium_concentrate                                ([no block])                                                                     = Indium Concentrate
lead_zinc_solution                                ([no block])                                                                     = Lead-Zinc Solution
tetrafluoroethylene                               ([no block])                                                                     = Tetrafluoroethylene
salt_water                                        ([no block])                                                                     = Salt Water
hydrocracked_ethane                               ([no block])                                                                     = Hydro-Cracked Ethane
hydrocracked_ethylene                             ([no block])                                                                     = Hydro-Cracked Ethylene
hydrocracked_propene                              ([no block])                                                                     = Hydro-Cracked Propene
hydrocracked_propane                              ([no block])                                                                     = Hydro-Cracked Propane
hydrocracked_light_fuel                           ([no block])                                                                     = Hydro-Cracked Light Fuel
hydrocracked_butane                               ([no block])                                                                     = Hydro-Cracked Butane
hydrocracked_naphtha                              ([no block])                                                                     = Hydro-Cracked Naphtha
hydrocracked_heavy_fuel                           ([no block])                                                                     = Hydro-Cracked Heavy Fuel
hydrocracked_gas                                  ([no block])                                                                     = Hydro-Cracked Refinery Gas
hydrocracked_butene                               ([no block])                                                                     = Hydro-Cracked Butene
hydrocracked_butadiene                            ([no block])                                                                     = Hydro-Cracked Butadiene
steamcracked_ethane                               ([no block])                                                                     = Steam-Cracked Ethane
steamcracked_ethylene                             ([no block])                                                                     = Steam-Cracked Ethylene
steamcracked_propene                              ([no block])                                                                     = Steam-Cracked Propene
steamcracked_propane                              ([no block])                                                                     = Steam-Cracked Propane
steamcracked_butane                               ([no block])                                                                     = Steam-Cracked Butane
steamcracked_naphtha                              ([no block])                                                                     = Steam-Cracked Naphtha
steamcracked_gas                                  ([no block])                                                                     = Steam-Cracked Refinery Gas
steamcracked_butene                               ([no block])                                                                     = Steam-Cracked Butene
steamcracked_butadiene                            ([no block])                                                                     = Steam-Cracked Butadiene
chloromethane                                     ([no block])                                                                     = Chloromethane
allyl_chloride                                    ([no block])                                                                     = Allyl Chloride
isoprene                                          ([no block])                                                                     = Isoprene
charcoal_byproducts                               ([no block])                                                                     = Charcoal Byproducts
cracked_light_fuel                                ([no block])                                                                     = Steam-Cracked Light Fuel
cracked_heavy_fuel                                ([no block])                                                                     = Steam-Cracked Heavy Fuel
phosphoric_acid                                   ([no block])                                                                     = Phosphoric Acid
phenol                                            ([no block])                                                                     = Phenol
bisphenol_a                                       ([no block])                                                                     = Bisphenol A
reinforced_epoxy_resin                            ([no block])                                                                     = Fiber-Reinforced Epoxy Resin
polyvinyl_acetate                                 ([no block])                                                                     = Polyvinyl Acetate
fermented_biomass                                 ([no block])                                                                     = Fermented Biomass
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = Rocket Fuel
positive_matter                                   ([no block])                                                                     = Positive Matter
neutral_matter                                    ([no block])                                                                     = Neutral Matter
